Offence,Year,Number,Rate,State
Public order offences,2021,1586,199.7,New South Wales
Offences against justice,2021,144,18.1,New South Wales
Miscellaneous offences,2021,2685,338.0,New South Wales
Homicide and related offences,2022,12,1.5,New South Wales
Acts intended to cause injury,2022,4183,516.4,New South Wales
Sexual assault and related offences,2022,237,29.3,New South Wales
Dangerous/negligent acts,2022,6,0.7,New South Wales
Abduction/harassment,2022,164,20.2,New South Wales
Robbery/extortion,2022,280,34.6,New South Wales
Unlawful entry with intent,2022,576,71.1,New South Wales
Theft,2022,1584,195.5,New South Wales
Fare evasion,2022,7443,918.9,New South Wales
Fraud/deception,2022,208,25.7,New South Wales
Illicit drug offences,2022,667,82.3,New South Wales
Weapons/explosives,2022,187,23.1,New South Wales
Property damage and environmental pollution,2022,716,88.4,New South Wales
Public order offences,2022,1569,193.7,New South Wales
Offences against justice,2022,177,21.9,New South Wales
Miscellaneous offences,2022,378,46.7,New South Wales
Homicide and related offences,2023,18,2.2,New South Wales
Acts intended to cause injury,2023,4100,498.4,New South Wales
Sexual assault and related offences,2023,259,31.5,New South Wales
Dangerous/negligent acts,2023,10,1.2,New South Wales
Abduction/harassment,2023,155,18.8,New South Wales
Robbery/extortion,2023,320,38.9,New South Wales
Unlawful entry with intent,2023,515,62.6,New South Wales
Theft,2023,1270,154.4,New South Wales
Fare evasion,2023,7848,954.0,New South Wales
Fraud/deception,2023,195,23.7,New South Wales
Illicit drug offences,2023,507,61.6,New South Wales
Weapons/explosives,2023,459,55.8,New South Wales
Property damage and environmental pollution,2023,663,80.6,New South Wales
Public order offences,2023,1360,165.3,New South Wales
Offences against justice,2023,185,22.5,New South Wales
Miscellaneous offences,2023,307,37.3,New South Wales
Homicide and related offences,2024,8,1.0,New South Wales
Acts intended to cause injury,2024,4098,492.8,New South Wales
Sexual assault and related offences,2024,222,26.7,New South Wales
Dangerous/negligent acts,2024,7,0.8,New South Wales
Abduction/harassment,2024,169,20.3,New South Wales
Robbery/extortion,2024,300,36.1,New South Wales
Unlawful entry with intent,2024,512,61.6,New South Wales
Theft,2024,1137,136.7,New South Wales
Fare evasion,2024,7141,858.7,New South Wales
Fraud/deception,2024,163,19.6,New South Wales
Illicit drug offences,2024,386,46.4,New South Wales
Weapons/explosives,2024,607,73.0,New South Wales
Property damage and environmental pollution,2024,622,74.8,New South Wales
Public order offences,2024,1242,149.3,New South Wales
Offences against justice,2024,164,19.7,New South Wales
Miscellaneous offences,2024,296,35.6,New South Wales
Acts intended to cause injury,2008,2065,383.2,Victoria
Sexual assault and related offences,2008,173,32.1,Victoria
Dangerous/negligent acts,2008,103,19.1,Victoria
Abduction/harassment,2008,57,10.6,Victoria
Robbery/extortion,2008,173,32.1,Victoria
Unlawful entry with intent,2008,1320,244.9,Victoria
Theft,2008,5168,959.0,Victoria
Fraud/deception,2008,242,44.9,Victoria
Illicit drug offences,2008,262,48.6,Victoria
Weapons/explosives,2008,434,80.5,Victoria
Property damage and environmental pollution,2008,1451,269.2,Victoria
Public order offences,2008,2578,478.4,Victoria
Offences against justice,2008,84,15.6,Victoria
Miscellaneous offences,2008,641,118.9,Victoria
Acts intended to cause injury,2009,2205,409.0,Victoria
Sexual assault and related offences,2009,204,37.8,Victoria
Dangerous/negligent acts,2009,108,20.0,Victoria
Abduction/harassment,2009,86,16.0,Victoria
Robbery/extortion,2009,180,33.4,Victoria
Unlawful entry with intent,2009,1149,213.1,Victoria
Theft,2009,5121,949.8,Victoria
Fraud/deception,2009,249,46.2,Victoria
Illicit drug offences,2009,359,66.6,Victoria
Weapons/explosives,2009,435,80.7,Victoria
Property damage and environmental pollution,2009,1308,242.6,Victoria
Public order offences,2009,2433,451.3,Victoria
Offences against justice,2009,106,19.7,Victoria
Miscellaneous offences,2009,772,143.2,Victoria
Acts intended to cause injury,2010,2036,378.0,Victoria
Sexual assault and related offences,2010,151,28.0,Victoria
Dangerous/negligent acts,2010,113,21.0,Victoria
Abduction/harassment,2010,75,13.9,Victoria
Robbery/extortion,2010,181,33.6,Victoria
Unlawful entry with intent,2010,1026,190.5,Victoria
Theft,2010,4780,887.4,Victoria
Fraud/deception,2010,132,24.5,Victoria
Illicit drug offences,2010,303,56.3,Victoria
Weapons/explosives,2010,312,57.9,Victoria
Property damage and environmental pollution,2010,1174,218.0,Victoria
Public order offences,2010,2067,383.8,Victoria
Offences against justice,2010,115,21.4,Victoria
Miscellaneous offences,2010,1055,195.9,Victoria
Acts intended to cause injury,2011,1895,351.0,Victoria
Sexual assault and related offences,2011,153,28.3,Victoria
Dangerous/negligent acts,2011,108,20.0,Victoria
Abduction/harassment,2011,113,20.9,Victoria
Robbery/extortion,2011,185,34.3,Victoria
Unlawful entry with intent,2011,855,158.4,Victoria
Theft,2011,4529,838.9,Victoria
Fraud/deception,2011,134,24.8,Victoria
Illicit drug offences,2011,353,65.4,Victoria
Weapons/explosives,2011,269,49.8,Victoria
Property damage and environmental pollution,2011,1061,196.5,Victoria
Public order offences,2011,1438,266.4,Victoria
Offences against justice,2011,87,16.1,Victoria
Miscellaneous offences,2011,1311,242.8,Victoria
Acts intended to cause injury,2012,1874,345.3,Victoria
Sexual assault and related offences,2012,177,32.6,Victoria
Dangerous/negligent acts,2012,86,15.8,Victoria
Abduction/harassment,2012,77,14.2,Victoria
Robbery/extortion,2012,172,31.7,Victoria
Unlawful entry with intent,2012,724,133.4,Victoria
Theft,2012,3775,695.5,Victoria
Fraud/deception,2012,180,33.2,Victoria
Illicit drug offences,2012,382,70.4,Victoria
Weapons/explosives,2012,271,49.9,Victoria
Property damage and environmental pollution,2012,995,183.3,Victoria
Public order offences,2012,1300,239.5,Victoria
Offences against justice,2012,112,20.6,Victoria
Miscellaneous offences,2012,1413,260.3,Victoria
Acts intended to cause injury,2013,1769,323.3,Victoria
Sexual assault and related offences,2013,197,36.0,Victoria
Dangerous/negligent acts,2013,85,15.5,Victoria
Abduction/harassment,2013,98,17.9,Victoria
Robbery/extortion,2013,147,26.9,Victoria
Unlawful entry with intent,2013,687,125.6,Victoria
Theft,2013,2819,515.2,Victoria
Fraud/deception,2013,167,30.5,Victoria
Illicit drug offences,2013,435,79.5,Victoria
Weapons/explosives,2013,231,42.2,Victoria
Property damage and environmental pollution,2013,905,165.4,Victoria
Public order offences,2013,1018,186.1,Victoria
Offences against justice,2013,92,16.8,Victoria
Miscellaneous offences,2013,1126,205.8,Victoria
Acts intended to cause injury,2014,1667,301.6,Victoria
Sexual assault and related offences,2014,184,33.3,Victoria
Dangerous/negligent acts,2014,83,15.0,Victoria
Abduction/harassment,2014,98,17.7,Victoria
Robbery/extortion,2014,147,26.6,Victoria
Unlawful entry with intent,2014,585,105.9,Victoria
Theft,2014,1922,347.8,Victoria
Fare evasion,2014,745,134.8,Victoria
Fraud/deception,2014,122,22.1,Victoria
Illicit drug offences,2014,441,79.8,Victoria
Weapons/explosives,2014,268,48.5,Victoria
Property damage and environmental pollution,2014,796,144.0,Victoria
Public order offences,2014,769,139.2,Victoria
Offences against justice,2014,101,18.3,Victoria
Miscellaneous offences,2014,1045,189.1,Victoria
Acts intended to cause injury,2015,1710,304.9,Victoria
Sexual assault and related offences,2015,191,34.1,Victoria
Dangerous/negligent acts,2015,68,12.1,Victoria
Abduction/harassment,2015,74,13.2,Victoria
Robbery/extortion,2015,154,27.5,Victoria
Unlawful entry with intent,2015,526,93.8,Victoria
Theft,2015,1719,306.5,Victoria
Fare evasion,2015,767,136.8,Victoria
Fraud/deception,2015,137,24.4,Victoria
Illicit drug offences,2015,393,70.1,Victoria
Weapons/explosives,2015,261,46.5,Victoria
Property damage and environmental pollution,2015,842,150.1,Victoria
Public order offences,2015,761,135.7,Victoria
Offences against justice,2015,95,16.9,Victoria
Miscellaneous offences,2015,1023,182.4,Victoria
Acts intended to cause injury,2016,1800,314.7,Victoria
