Offence,Year,Number,Rate,State,Sex
Acts intended to cause injury,2021,26332.0,748.8,New South Wales,Male
Sexual assault and related offences,2021,2533.0,72.0,New South Wales,Male
Dangerous/negligent acts,2021,70.0,2.0,New South Wales,Male
Abduction/harassment,2021,878.0,25.0,New South Wales,Male
Robbery/extortion,2021,593.0,16.9,New South Wales,Male
Unlawful entry with intent,2021,1519.0,43.2,New South Wales,Male
Theft,2021,4668.0,132.7,New South Wales,Male
Fare evasion,2021,9647.0,274.3,New South Wales,Male
Fraud/deception,2021,1938.0,55.1,New South Wales,Male
Illicit drug offences,2021,9215.0,262.0,New South Wales,Male
Weapons/explosives,2021,1956.0,55.6,New South Wales,Male
Property damage and environmental pollution,2021,2936.0,83.5,New South Wales,Male
Public order offences,2021,7408.0,210.7,New South Wales,Male
Offences against justice,2021,3757.0,106.8,New South Wales,Male
Miscellaneous offences,2021,27832.0,791.4,New South Wales,Male
Homicide and related offences,2022,178.0,5.0,New South Wales,Male
Acts intended to cause injury,2022,28447.0,791.6,New South Wales,Male
Sexual assault and related offences,2022,2683.0,74.7,New South Wales,Male
Dangerous/negligent acts,2022,46.0,1.3,New South Wales,Male
Abduction/harassment,2022,954.0,26.5,New South Wales,Male
Robbery/extortion,2022,578.0,16.1,New South Wales,Male
Unlawful entry with intent,2022,1788.0,49.8,New South Wales,Male
Theft,2022,5732.0,159.5,New South Wales,Male
Fare evasion,2022,12890.0,358.7,New South Wales,Male
Fraud/deception,2022,1962.0,54.6,New South Wales,Male
Illicit drug offences,2022,10739.0,298.8,New South Wales,Male
Weapons/explosives,2022,1904.0,53.0,New South Wales,Male
Property damage and environmental pollution,2022,3107.0,86.5,New South Wales,Male
Public order offences,2022,8839.0,246.0,New South Wales,Male
Offences against justice,2022,4414.0,122.8,New South Wales,Male
Miscellaneous offences,2022,4832.0,134.5,New South Wales,Male
Homicide and related offences,2023,226.0,6.1,New South Wales,Male
Acts intended to cause injury,2023,28226.0,765.2,New South Wales,Male
Sexual assault and related offences,2023,2691.0,73.0,New South Wales,Male
Dangerous/negligent acts,2023,66.0,1.8,New South Wales,Male
Abduction/harassment,2023,854.0,23.2,New South Wales,Male
Robbery/extortion,2023,639.0,17.3,New South Wales,Male
Unlawful entry with intent,2023,1674.0,45.4,New South Wales,Male
Theft,2023,5220.0,141.5,New South Wales,Male
Fare evasion,2023,14551.0,394.5,New South Wales,Male
Fraud/deception,2023,1932.0,52.4,New South Wales,Male
Illicit drug offences,2023,8760.0,237.5,New South Wales,Male
Weapons/explosives,2023,3461.0,93.8,New South Wales,Male
Property damage and environmental pollution,2023,2821.0,76.5,New South Wales,Male
Public order offences,2023,7372.0,199.9,New South Wales,Male
Offences against justice,2023,4491.0,121.8,New South Wales,Male
Miscellaneous offences,2023,4377.0,118.7,New South Wales,Male
Homicide and related offences,2024,180.0,4.8,New South Wales,Male
Acts intended to cause injury,2024,28808.0,768.3,New South Wales,Male
Sexual assault and related offences,2024,2695.0,71.9,New South Wales,Male
Dangerous/negligent acts,2024,42.0,1.1,New South Wales,Male
Abduction/harassment,2024,898.0,23.9,New South Wales,Male
Robbery/extortion,2024,555.0,14.8,New South Wales,Male
Unlawful entry with intent,2024,1519.0,40.5,New South Wales,Male
Theft,2024,4676.0,124.7,New South Wales,Male
Fare evasion,2024,13663.0,364.4,New South Wales,Male
Fraud/deception,2024,1692.0,45.1,New South Wales,Male
Illicit drug offences,2024,7597.0,202.6,New South Wales,Male
Weapons/explosives,2024,4133.0,110.2,New South Wales,Male
Property damage and environmental pollution,2024,2662.0,71.0,New South Wales,Male
Public order offences,2024,6723.0,179.3,New South Wales,Male
Offences against justice,2024,4607.0,122.9,New South Wales,Male
Miscellaneous offences,2024,3772.0,100.6,New South Wales,Male
Homicide and related offences,2008,35.0,1.1,New South Wales,Female
Acts intended to cause injury,2008,5454.0,176.6,New South Wales,Female
Sexual assault and related offences,2008,27.0,0.9,New South Wales,Female
Dangerous/negligent acts,2008,16.0,0.5,New South Wales,Female
Abduction/harassment,2008,142.0,4.6,New South Wales,Female
Robbery/extortion,2008,177.0,5.7,New South Wales,Female
Unlawful entry with intent,2008,329.0,10.7,New South Wales,Female
Theft,2008,6413.0,207.6,New South Wales,Female
Fraud/deception,2008,1079.0,34.9,New South Wales,Female
Illicit drug offences,2008,1892.0,61.3,New South Wales,Female
Weapons/explosives,2008,79.0,2.6,New South Wales,Female
Property damage and environmental pollution,2008,1195.0,38.7,New South Wales,Female
Public order offences,2008,2711.0,87.8,New South Wales,Female
Offences against justice,2008,1850.0,59.9,New South Wales,Female
Miscellaneous offences,2008,770.0,24.9,New South Wales,Female
Homicide and related offences,2009,48.0,1.5,New South Wales,Female
Acts intended to cause injury,2009,5757.0,183.8,New South Wales,Female
Sexual assault and related offences,2009,39.0,1.2,New South Wales,Female
Dangerous/negligent acts,2009,36.0,1.1,New South Wales,Female
Abduction/harassment,2009,167.0,5.3,New South Wales,Female
Robbery/extortion,2009,156.0,5.0,New South Wales,Female
Unlawful entry with intent,2009,330.0,10.5,New South Wales,Female
Theft,2009,7224.0,230.6,New South Wales,Female
Fraud/deception,2009,944.0,30.1,New South Wales,Female
Illicit drug offences,2009,2069.0,66.1,New South Wales,Female
Weapons/explosives,2009,90.0,2.9,New South Wales,Female
Property damage and environmental pollution,2009,1269.0,40.5,New South Wales,Female
Public order offences,2009,2756.0,88.0,New South Wales,Female
Offences against justice,2009,1654.0,52.8,New South Wales,Female
Miscellaneous offences,2009,1316.0,42.0,New South Wales,Female
Homicide and related offences,2010,51.0,1.6,New South Wales,Female
Acts intended to cause injury,2010,6063.0,191.4,New South Wales,Female
Sexual assault and related offences,2010,42.0,1.3,New South Wales,Female
Dangerous/negligent acts,2010,31.0,1.0,New South Wales,Female
Abduction/harassment,2010,147.0,4.6,New South Wales,Female
Robbery/extortion,2010,158.0,5.0,New South Wales,Female
Unlawful entry with intent,2010,338.0,10.7,New South Wales,Female
Theft,2010,7771.0,245.3,New South Wales,Female
Fraud/deception,2010,851.0,26.9,New South Wales,Female
Illicit drug offences,2010,2049.0,64.7,New South Wales,Female
Weapons/explosives,2010,81.0,2.6,New South Wales,Female
Property damage and environmental pollution,2010,1234.0,39.0,New South Wales,Female
Public order offences,2010,2712.0,85.6,New South Wales,Female
Offences against justice,2010,1747.0,55.1,New South Wales,Female
Miscellaneous offences,2010,1660.0,52.4,New South Wales,Female
Homicide and related offences,2011,44.0,1.4,New South Wales,Female
